section;article_id;title;authors;pages;url
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206260;МЕТОДОЛОГИЯ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ ПРИ ИНТЕЛЛЕКТУАЛЬНОМ УПРАВЛЕНИИ ТЕХНОЛОГИЧЕСКИМИ СИСТЕМАМИ ПРОИЗВОДСТВА ГАЛЬВАНИЧЕСКИХ ПОКРЫТИЙ;Соловьев Д.С.;538-546;https://elibrary.ru/item.asp?id=75206260
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206261;A MATHEMATICAL MODEL FOR PREDICTING FAILURES OF A SELF-CONTAINED SELF-RESCUER;Matveykin V.G., Praveen P.K., Dmitrievsky B.S., Terekhova A.A.;547-557;https://elibrary.ru/item.asp?id=75206261
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206262;ПЛАНИРОВАНИЕ ОСТАНОВОЧНЫХ РЕМОНТОВ НА ПРЕДПРИЯТИЯХ ХИМИЧЕСКОЙ ПРОМЫШЛЕННОСТИ;Егоров С.Я., Немтинов В.А., Авцинов И.А.;558-572;https://elibrary.ru/item.asp?id=75206262
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206263;ОПЕРАТИВНАЯ КОРРЕКЦИЯ ВЕСА АПРИОРНОЙ ИНФОРМАЦИИ В БАЙЕСОВСКОМ АЛГОРИТМЕ РАСПОЗНАВАНИЯ СОСТОЯНИЯ ИНФОРМАЦИОННО-ИЗМЕРИТЕЛЬНОЙ И УПРАВЛЯЮЩЕЙ СИСТЕМЫ;Павлов В.И., Дорохова Т.Ю., Артемова С.В., Толстых С.В.;573-580;https://elibrary.ru/item.asp?id=75206263
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206264;СИСТЕМА ДИАГНОСТИКИ РЕЛЬСОВЫХ СКРЕПЛЕНИЙ НА ВЫСОКОСКОРОСТНЫХ ЖЕЛЕЗНЫХ ДОРОГАХ НА ОСНОВЕ ГЛУБОКОЙ НЕЙРОННОЙ СЕТИ;Орлов С.П., Ефимушкин Н.А., Ефимушкина Н.В.;581-593;https://elibrary.ru/item.asp?id=75206264
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206265;МЕТОД ОБРАБОТКИ ПЕРВИЧНЫХ ДАННЫХ ГЕЛЬ-ПРОНИКАЮЩЕЙ ХРОМАТОГРАФИИ РАСТВОРОВ КАУЧУКОВ ПРОМЫШЛЕННОГО НАЗНАЧЕНИЯ ДЛЯ АВТОМАТИЗИРОВАННОГО РАСЧЕТА ИХ ФРАКЦИОННЫХ СОСТАВОВ;Хаустов И.А., Битюков В.К., Романов Р.А., Маслов А.А., Дворникова А.С.;594-607;https://elibrary.ru/item.asp?id=75206265
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206266;ИНФОРМАЦИОННО-ИЗМЕРИТЕЛЬНАЯ И УПРАВЛЯЮЩАЯ СИСТЕМА НА ОСНОВЕ СПУТНИКОВОЙ РАДИОНАВИГАЦИОННОЙ СИСТЕМЫ ДЛЯ РЕШЕНИЯ ЗАДАЧ ПОСАДКИ ЛЕТАТЕЛЬНЫХ АППАРАТОВ;Иванов А.В., Москвитин С.П., Иванов А.А., Лежнева Н.А.;608-620;https://elibrary.ru/item.asp?id=75206266
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206267;УСТРОЙСТВО ДЛЯ ПРОВЕРКИ АППАРАТОВ ЗАЩИТЫ ОТ ПОСЛЕДОВАТЕЛЬНОГО И ПАРАЛЛЕЛЬНОГО ДУГОВЫХ ПРОБОЕВ И ИСКРОВЫХ ПРОМЕЖУТКОВ;Ерашова Ю.Н., Тюрин А.Н., Гарифуллина Н.А., Мусина Л.Ф.;621-629;https://elibrary.ru/item.asp?id=75206267
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;75206268;ПОЛУПРОВОДНИКОВЫЙ ПЕРВИЧНЫЙ ИЗМЕРИТЕЛЬНЫЙ ПРЕОБРАЗОВАТЕЛЬ ТЕМПЕРАТУРЫ ДЛЯ ЛЕТАТЕЛЬНЫХ АППАРАТОВ;Чернышов В.Н., Королев А.П.;630-639;https://elibrary.ru/item.asp?id=75206268
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206269;ПРИНЦИПЫ АВТОМАТИЗИРОВАННОГО ПРОЕКТИРОВАНИЯ ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ МНОГОАССОРТИМЕНТНЫХ ХИМИЧЕСКИХ ПРОИЗВОДСТВ;Карпушкин С.В., Краснянский М.Н.;640-651;https://elibrary.ru/item.asp?id=75206269
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206270;ОЦЕНКА ВЛИЯНИЯ ВИБРАЦИИ НА ПРОЦЕСС МАССООБМЕНА В НАСАДОЧНОЙ ЭКСТРАКЦИОННОЙ КОЛОННЕ;Голованчиков А.Б., Залипаева О.А., Меренцов Н.А., Раева Ю.Н.;652-662;https://elibrary.ru/item.asp?id=75206270
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206271;ПРИМЕНЕНИЕ УЛЬТРАЗВУКА ПРИ ЭКСТРУЗИИ ДЛИННОМЕРНЫХ ПРОФИЛЬНЫХ РЕЗИНОТЕХНИЧЕСКИХ ЗАГОТОВОК С ЗАДАННЫМИ ПОКАЗАТЕЛЯМИ КАЧЕСТВА;Соколов М.В., Беляев П.С., Туляков Д.В., Брянкин К.В.;663-669;https://elibrary.ru/item.asp?id=75206271
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206272;ИССЛЕДОВАНИЕ КИНЕТИЧЕСКИХ КОЭФФИЦИЕНТОВ ПРОЦЕССА ЭЛЕКТРОМЕМБРАННОЙ ОЧИСТКИ ТЕХНОЛОГИЧЕСКИХ РАСТВОРОВ ОТ КАТИОНОВ ТЯЖЕЛЫХ МЕТАЛЛОВ;Киясова Г.М., Ломакина В.А., Абоносимов О.А., Селиванов Ю.Т., Шель Н.В., Брянкин К.В.;670-680;https://elibrary.ru/item.asp?id=75206272
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206273;РАСЧЕТ МИНИМАЛЬНОГО РАЗМЕРА ЧАСТИЦ, УЛАВЛИВАЕМЫХ В ПЕРВОЙ СТУПЕНИ ПЫЛЕУЛОВИТЕЛЯ-КЛАССИФИКАТОРА;Юровская М.А., Леонтьев В.К., Лебедев А.Е.;681-686;https://elibrary.ru/item.asp?id=75206273
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;75206274;ИССЛЕДОВАНИЕ ВЛИЯНИЯ ПОЛИМЕРНОЙ МАТРИЦЫ И ТЕХНОЛОГИЧЕСКИХ ПАРАМЕТРОВ РАСПЫЛИТЕЛЬНОЙ СУШКИ НА СВОЙСТВА ПОРОШКОВОЙ ИНГАЛЯЦИОННОЙ КОМПОЗИЦИИ;Щербакова Л.А., Петрикова Е.А., Гордиенко М.Г., Сафаров Р.Р., Щекотихин А.Е.;687-696;https://elibrary.ru/item.asp?id=75206274
МАШИНОСТРОЕНИЕ. МЕТАЛЛООБРАБОТКА;75206275;ВЛИЯНИЕ РЕЖИМНЫХ ПЕРЕМЕННЫХ И КОНСТРУКТИВНЫХ ПАРАМЕТРОВ ОБОРУДОВАНИЯ НА ЭНЕРГОЗАТРАТЫ И ПОКАЗАТЕЛИ КАЧЕСТВА ДЛИННОМЕРНЫХ РЕЗИНОТЕХНИЧЕСКИХ ЗАГОТОВОК;Соколов М.В., Беляев П.С., Туляков Д.В.;697-708;https://elibrary.ru/item.asp?id=75206275
