year;issue_name;display_name;articles_hint;url
2025;Т.31_№1;Т. 31 № 1;18;https://elibrary.ru/contents.asp?id=80648172
2025;Т.31_№2;Т. 31 № 2;15;https://elibrary.ru/contents.asp?id=82356658
2025;Т.31_№3;Т. 31 № 3;17;https://elibrary.ru/contents.asp?id=83150213
2025;Т.31_№4;Т. 31 № 4;14;https://elibrary.ru/contents.asp?id=87332513
2024;Т.30_№1;Т. 30 № 1;16;https://elibrary.ru/contents.asp?id=65665618
2024;Т.30_№2;Т. 30 № 2;17;https://elibrary.ru/contents.asp?id=67903179
2024;Т.30_№3;Т. 30 № 3;14;https://elibrary.ru/contents.asp?id=73630447
2024;Т.30_№4;Т. 30 № 4;16;https://elibrary.ru/contents.asp?id=75206259
2023;Т.29_№1;Т. 29 № 1;16;https://elibrary.ru/contents.asp?id=52257266
2023;Т.29_№2;Т. 29 № 2;17;https://elibrary.ru/contents.asp?id=54020887
2023;Т.29_№3;Т. 29 № 3;16;https://elibrary.ru/contents.asp?id=54687211
2023;Т.29_№4;Т. 29 № 4;16;https://elibrary.ru/contents.asp?id=56665832
2022;Т.28_№1;Т. 28 № 1;19;https://elibrary.ru/contents.asp?id=48616807
2022;Т.28_№2;Т. 28 № 2;18;https://elibrary.ru/contents.asp?id=48728915
2022;Т.28_№3;Т. 28 № 3;15;https://elibrary.ru/contents.asp?id=49600283
2022;Т.28_№4;Т. 28 № 4;15;https://elibrary.ru/contents.asp?id=49966945
